ID,W,X4,S6_2
236,0.776883398042032,Marijampolės apskritis,0
237,0.828165283766322,Klaipėdos apskritis,1
238,0.828165283766322,Klaipėdos apskritis,0
239,0.828165283766322,Klaipėdos apskritis,0
240,1.12856571132279,Alytaus apskritis,0
241,1.04950618622216,Marijampolės apskritis,0
242,1.07800589767791,Panevėžio apskritis,0
243,0.984848705557495,Telšių apskritis,0
244,1.11878383643894,Klaipėdos apskritis,1
245,1.11878383643894,Klaipėdos apskritis,0
246,0.900758704609963,Vilniaus apskritis,0
247,0.849578860954697,Utenos apskritis,0
248,0.849578860954697,Utenos apskritis,0
249,0.915635412278839,Šiaulių apskritis,0
250,0.915635412278839,Šiaulių apskritis,1
251,0.83285067737171,Tauragės apskritis,0
252,0.943937682027289,Klaipėdos apskritis,0
253,1.18223006783537,Vilniaus apskritis,0
254,1.19814873839629,Šiaulių apskritis,0
255,1.25983386693528,Šiaulių apskritis,0
256,1.25983386693528,Šiaulių apskritis,0
257,1.05796400090493,Tauragės apskritis,0
258,1.14329250601343,Telšių apskritis,0
259,1.29877530308123,Klaipėdos apskritis,0
260,1.054358411373,Marijampolės apskritis,0
261,1.08298988671784,Panevėžio apskritis,0
262,1.08298988671784,Panevėžio apskritis,1
263,1.09025655064178,Šiaulių apskritis,0
264,1.09025655064178,Šiaulių apskritis,0
265,1.12395635580166,Klaipėdos apskritis,0
266,0.855990838505168,Vilniaus apskritis,0
267,0.855990838505168,Vilniaus apskritis,0
268,0.881141928960267,Kauno apskritis,0
269,0.904866771208224,Alytaus apskritis,0
270,0.84147805002582,Marijampolės apskritis,0
271,0.84147805002582,Marijampolės apskritis,0
272,0.87012817118539,Šiaulių apskritis,0
273,0.789636668370765,Telšių apskritis,1
274,1.15637389423536,Vilniaus apskritis,0
275,1.15637389423536,Vilniaus apskritis,1
276,1.09067035475125,Utenos apskritis,1
277,1.13676829920425,Marijampolės apskritis,1
278,1.06673481556126,Telšių apskritis,0
279,0.975653077680991,Vilniaus apskritis,0
280,1.0043201354411,Kauno apskritis,0
281,1.0043201354411,Kauno apskritis,1
282,1.0043201354411,Kauno apskritis,1
283,1.0313615642923,Alytaus apskritis,0
284,0.985156502444377,Panevėžio apskritis,0
285,0.991766722265957,Šiaulių apskritis,0
286,1.02242220907293,Klaipėdos apskritis,1
287,1.10522645923835,Vilniaus apskritis,0
